Session,Cell ID,InRF,ExRF,Selectivity,Cue Analysis,Array Analysis,Comments,Suppression,Cue/Array,
C110623,1a,P6,P5,3,y,y,"Only 41 trials. 8 trials for P6, 11 trials for P5. Still looks like a P6 response though.",,,
C110623,1b,P4,P5,4,y,y,Clear P4 response based on early peak and mean firing rate.,P3,Cue,
C110713,1a,P1,P6,4,combine,combine,"Clear P1 response. 0D data suggests P1, P2, or P3.",,,
C110720,1b,P3,P5,2,combine,combine,"RF choice unclear. Maybe P3 or P4. Only 46 trials. 0D data suggests P1. 0D data shows clear response to P3 target. There are cells that respond best to the cue (common in visual areas) and cells that respond best to the target which appears at the cued location (common in LIP) as well as cells that show stimulus-induced suppression (which carries information about the stimulus). This cell responds well (and consistently over 17 trials) to the target at P3 in the zero distracter condition (weakish response to cue at P3, which may be due to the fact that the task can still be performed without the cue in the 0 distracter case, but still a response). In the 5 distractor condition, the best (although moderate) cue-evoked response is at P3, and the poor response to the target may be due to surround inhibition. In summary, there are sufficient trials to perform the analysis, so I suggest we should include the cell.",,,
C110721,1a,x,x,0,x,x,Exclude. Only 13 trials.,,,
C110722,1a,P1,P5,2,combine,combine,RF choice unclear but possibly P1 based on peaks or P3 based on average firing in green window. 0D data not clear and few trials. Consider excluding because no responses over 1 SD from baseline.,,,
C110727,1a,x,x,0,x,x,Exclude. Only 9 trials.,,,
C110728,1a,x,x,1,x,x,RF choice unclear but possibly P2 or P1 based on average firing in green window. 0D data sparse and not clear. No responses over 1 SD from baseline except for slight peaks in P3 and P4 for array period. Response consists of 6/21 in 5D and 1/11 in 0D. Exclude.,P1 (P2 as well?),Array,
C110728,1b,P1,P6,3,combine,combine,Slight P1 preference. Not much greater than baseline. Clear response to array though. 0D data shows no response over baseline.,,,
C110804,1a,P3,P5,2,combine,combine,Response to cue almost non-existent. There is a response around 250ms after array onset though -- perhaps response-related cell. 0D data shows no response over baseline. Late onset response to cue at P3 around 210ms (for both 5 and 0 distractor conditions). Consistent first-spike latency based on raster for 5 of 8 trials in 5D). This follows suppression.,P3,Cue,
C110809,1a,P4,P2,2,combine,combine,RF choice unclear but possibly P3. Only 67 trials. 0D data suggests maybe P4. Cell fires on only 3/11<1/3 trials in post-cue period and on 2/11 on post-array period at P3. Cell fires on 4/8 trials in post-cue period of P4 0D data and 2/6 in post-cue period of P4 5D data.,P3,Array,"*although there are 2 trials (out of 11 trials) with an early spike (ca 30ms), this is followed by 250ms or so of silence in 11 out of 11 trials for the P3 target (cf with some spiking for all other positions)"
C110809,1b,x,x,0,x,x,Exclude. Sparse firing. Only 67 trials. No clear response. 0D data also has sparse firing and no clear response.,,,
C110811,1a,P2,P4,2,combine,combine,RF choice unclear. P2 peak looks reasonable. P3 has largest average firing in green window. 0D data also suggests P2.,,,
C110811,1b,P1,P3,3,combine,combine,"Decent P1 peak, but possibly P4. 0D data actually suggests P3 as RF.",,,
C110812,1a,P6,P4,2,combine,combine,"P6 has 6 trials in 5D. Robust response in 4 of 6 trials with consistent latency in raster, and a couple of spikes in other 2 trials (cell has low spontaneous rate). [P5 only has one trial and the number of spikes after the cue is lower than the number of spikes before cue]. Ex RF: use P4; or P2 for more trials.",,,
C110812,1b,x,x,2,x,x,"RF choice unclear. P6 has highest mean spike rate after cue (particularly if you look until 250ms after cue). This is a little clearer looking at the raster, because the baseline-corrected spdf y-axis is very high (compressing the responses). Ex RF: P2 for sufficient trials. Although the small number of trials makes the interpretation of this cell difficult, I think the fact that this cell 1b was recorded at the same location as 1a, helps to make the decision that the RF is P6 (same as 1a). However, I see the argument for excluding 1b, so feel free to do so if you would like.",,,
L101008,1a,x,x,1,x,x," Exclude. Sparse firing. RF choice unclear but possibly P1 or P4 though they are early at around 40ms. I agree that there is little/no cue-evoked response. So not useful for latency calculations. However, I think there is suppression to the array at P3. When we separate pulvinar cells into subtypes, I would include this cell in the suppression group, and thus include it in the spdf for array-suppressed cells.",P3,Array,"*only 1 spike in 40 trials after array, i.e., 30-250ms post-array onset (cf with spikes during this periods for all other positions)"
L101013,1a,P1,P5,4,y,y,"Clear response to P1, but P4 and P6 also show a response, with P4 earlier. P1 has larger average though.",,,
L101014,1a,P5,P6,2,y,y,"RF choice unclear but possibly P3, P4 or P5. Responses are barely outside of baseline variability.",,,
L101019,1a,P3,P4,2,y,y,RF choice unclear. P1 has greatest response but starts too early.,,,
L101020,1a,P5,P3,2,y,y,RF choice unclear. P5 has largest cue-evoked response (peak is just late - could be small onset and large offset response.).,,,
L101029,1a,x,x,0,x,x,"Exclude. Sparse firing and unusual activity mid-session. The cell has low spontatneous rate, but it does seem that P1 stimuli induce some suppression. So while I wouldn't use this cell for the latency analysis (based on increased spiking), it may be useful to include in the population spdf for cells showing stimulus-induced suppression. ",P1?,Cue and Array?,
L101102,1a,P1,P4,3,y,y,Poor response to cue.,,,
L101103,1c,P3,P2,2,y,y,"Poor response to cue. RF choice unclear. Could be P3 or P4. Broaden time window after cue to 250ms (or 300ms) to capture P4-evoked response. The P3 response is also high in that window. Also, there is a clear P3 (and P1 and P5) response 250ms after array onset. There is a 110ms consistent latency in the response to the cue and the array as well, so I am inclined to switch it to P3.",,,
L101105,1a,P6,P4,4,y,y,Clear P6 response.,,,
L101119,1a,P5,P4,2,y,y,"Poor response to cue. RF choice unclear. Could be P3, P1, or P5.",,,
L101123,1a,P5,P1,2,y,y,"Poor response to cue. Possibly late response to P4 cue? I see it. I'm still not sure which is the best response though. Using the criteria strictly, P5 seems like the best since it has the highest average firing rate in the window, the largest peak in the 20-120ms after cue onset, and a similar latency for one peak at around 80ms after cue and array onsets.",,,
L101124,1a,P3,P1,2,y,y,"RF choice could be P3 or P6. or P2? Yes, or P2. Using a shorter baseline had made the P2 peaks shorter than the P3 and P6 peaks.",,,
L101124,1b,P4,P6,2,y,y,"Poor response to cue. If there is an excitatory response to the cue, then it may be to P4 (or P3). However, this cell shows some suppression after a cue at P2. There seems to be a number of cells showing suppression at a particular position(s), thus informative, but do not show an excitatory response to a stimulus at any position. ",P2,Cue,
L101124,1c,P3,P4,3,y,y,Poor response to cue.,,,
L101208,1a,P3,P6,4,y,y,Clear P3 sustained response to cue.,,,
L101209,1b,P1,P5,4,y,y,Clear P1 response to cue.,,,
L101214,1a,P2,P6,4,y,y,Clear late response (offset response?) to cue. Could be onset response at P3.,,,
L101215,1a,P2,P4,4,y,y,"Clear response to cue onset and offset. Strong at P1 and P3, but P2 strongest looking at the two peaks. P1 has largest average in green window though.",,,
L101222,1a,P3,P6,3,y,y,Clear response to cue but RF choice unclear. P3 has largest sustained response.,,,
L101222,1b,P1,P6,3,y,y,Clear response to cue.,,,
L110411,1a,x,x,0,x,x,"Exclude. Only 37 trials. Sparse firing. RF choice unclear. No increase in spike rate to stimuli. However, although the cell has low spontatneous rate, it does seem that P2 cues and arrays induce some suppression, e.g., target at P4, where there seems to be post-suppression bursts/rebound. So while I wouldn't use this cell for the latency analysis (based on increased spiking), it may be useful to include in the population spdf for cells showing stimulus-induced suppression. Given the low spontaneous rate and few trials, it does not seem to me that there is selective suppression for a cue location. I agree that the late response for P4 is suggestive of a post-suppresive burst/rebound, but it could also represent preparatory activity for a lever release or saccade to the shape (the trials are sorted firstly by cue location, secondly by shape, thirdly by congruency; so those trials with the post-suppressive burst are likely all barrel trials. TODO: look into whether they are actually all barrel trials.","P2 (cue); P4, P5 (array) ",Cue and Array?,
L110411,1b,P6,P5,3,y,y,Pretty clear but late response to cue onset.,,,
L110411,1c,x,x,1,x,x,"No response to cue over baseline variability. RF choice unclear but possibly P6. Some suppression to P4 cue and array? Yes, I can see this, especially with the post-suppressive rebound.",P4?,(Cue and) Array?,
L110412,1a,P4,P1,4,y,supp,Clear P4 response.,,,
L110412,1b,x,x,1,x,x,"Exclude. Poor response to cue - not over baseline variability. RF choice unclear. Cell transitions on a number of occasions between high and low spontaneous rates. This could be real, or it could be recording noise or changes in spike thresholding",,,
L110413,1a,P6,P2,4,y,y,Mostly clear P6 response.,,,
L110413,1b,P6,P4,2,y,y,Mostly clear P6 response.,,,
L110414,1a,x,x,1,x,x,"Only 36 trials, and 2 trials at P5. The highest responses come from positions with only 2 trials. Exclude this cell. ",,,
L110414,1b,x,x,1,x,x,"Only 36 trials, and 2 trials at P1. The highest responses come from positions with only 2 trials. Exclude this cell. ",,,
L110419,1a,P1,P3,2,y,y,"Seems to be response to cue, but it is not higher than baseline. RF choice a bit unclear. Could also be P4 or P5. P4 has largest average in green window.",,,
L110420,1a,P4,P2,3,y,y,Poor response to cue. Could be P3 with smaller but broader peak. Or P6 RF? I could go with either -- depends on the criteria. My criteria is to look at peaks in the first 20-120ms for clear peaks (P4) and break ties or unclear situations with the largest average response (P4) and later peaks (P6).,,,
L110421,1a,P3,P6,3,y,y,RF choice a bit unclear.,,,
